Email Text,Category
Is your service available internationally?,General Queries
The website isn't loading on my browser.,Technical Support
Can I schedule a session with a counselor?,Psychological Support
I keep getting a 404 error on your site.,Technical Support
What are your customer service hours?,General Queries
Is your service available internationally?,General Queries
My screen keeps freezing.,Technical Support
"I'm dealing with depression, can you help?",Psychological Support
Can I schedule a session with a counselor?,Psychological Support
Are there any new updates this month?,General Queries
I can't log into my account.,Technical Support
How do I contact your support team?,General Queries
I want to change my payment method.,Accounts/Finance
I just need someone to talk to today.,Psychological Support
I can't log into my account.,Technical Support
My screen keeps freezing.,Technical Support
I'm not sleeping well due to anxiety.,Psychological Support
I need help updating my profile settings.,Technical Support
I feel like I'm burning out at work.,Psychological Support
I can't log into my account.,Technical Support
What is your return policy?,General Queries
My internet connection drops when I use your app.,Technical Support
I'm not sleeping well due to anxiety.,Psychological Support
How do I cancel my subscription?,Accounts/Finance
My data isn't syncing across devices.,Technical Support
I need help updating my profile settings.,Technical Support
Do you offer student discounts?,General Queries
Can I get help with using your platform?,General Queries
Is your service available internationally?,General Queries
Can I schedule a session with a counselor?,Psychological Support
Please explain the latest charges on my account.,Accounts/Finance
I feel like I'm burning out at work.,Psychological Support
I'm feeling anxious and overwhelmed.,Psychological Support
My refund hasn't been processed yet.,Accounts/Finance
The website isn't loading on my browser.,Technical Support
Where can I find the user manual?,General Queries
How do I cancel my subscription?,Accounts/Finance
What is your return policy?,General Queries
I keep getting a 404 error on your site.,Technical Support
Is your service available internationally?,General Queries
I'm having trouble installing the software.,Technical Support
Is your service available internationally?,General Queries
Where can I find the user manual?,General Queries
Please explain the latest charges on my account.,Accounts/Finance
Please explain the latest charges on my account.,Accounts/Finance
Can you help me update my billing information?,Accounts/Finance
I have a question about my recent invoice.,Accounts/Finance
I'm feeling anxious and overwhelmed.,Psychological Support
There’s a discrepancy in my account balance.,Accounts/Finance
What is your return policy?,General Queries
Can you help me update my billing information?,Accounts/Finance
What are your customer service hours?,General Queries
I’m being billed for something I didn’t buy.,Accounts/Finance
My refund hasn't been processed yet.,Accounts/Finance
Where can I find the user manual?,General Queries
Is your service available internationally?,General Queries
Can I get help with using your platform?,General Queries
I’m being billed for something I didn’t buy.,Accounts/Finance
I want to change my payment method.,Accounts/Finance
The website isn't loading on my browser.,Technical Support
My refund hasn't been processed yet.,Accounts/Finance
Is there someone I can talk to about my stress?,Psychological Support
Please explain the latest charges on my account.,Accounts/Finance
Where can I find the user manual?,General Queries
How do I cancel my subscription?,Accounts/Finance
Do you offer student discounts?,General Queries
I just need someone to talk to today.,Psychological Support
I have some feedback about your service.,General Queries
I need mental health support urgently.,Psychological Support
Is psychological support available 24/7?,Psychological Support
My refund hasn't been processed yet.,Accounts/Finance
I can't log into my account.,Technical Support
